This Notice Expires 1 July 1958.

Personnel. 2 July 1957. Notice No. 20-190-139.

Announcement of Assignments to Key Positions. Panel of Examiners of the CIA Selection Board.

In accordance with paragraph 5b of Regulation No. 20-105, The Career Staff of the Central Intelligence Agency, the following persons are appointed, effective 1 July 1957, to serve as members of the Panel of Examiners for this period ending 30 June 1958:

Albertsen, C. V.; service designation DP; organizational component DDP/WE.
Brent, Irl Darcy; service designation IS; organizational component DDI/OSI.
Broe, William V.; service designation DI; organizational component DDP/FE.
Bussey, Robert O.; service designation DT; organizational component DDP/TSS.
Cain, Benjamin B.; service designation OD; organizational component DDI/OO/FDD.
Caldwell, John J.; service designation SP; organizational component DDS/OP.
Christ, David L.; service designation DT; organizational component DDP/TSS.
Connor, Sydney; service designation IB; organizational component DDI/OBI.
Covell, Louis C.; service designation C; organizational component DDI/OCR.
Czajkowski, Anthony; service designation OC; organizational component DDI/OO/C.
Darling, James H.; service designation DM; organizational component DDP/NEA.
Dean, Warren L.; service designation DI; organizational component DDP/WE.
Desmond, Daniel H.; service designation SC; organizational component DDS/OC.
Dillon, Thomas P.; service designation SL; organizational component DDS/OL.
Flynn, Anthony P.; service designation DI; organizational component DDP/CI.
Ganley, Frederick W.; service designation SF; organizational component DDS/Compt.
Cause, William M.; service designation SL; organizational component DDS/OL.
Gibson, Frank E., Jr.; service designation SM; organizational component DDS/Med.
Giesecke, Fritz H.; service designation DP; organizational component DDP/EE.
Gimmell, Kermit Y.; service designation EB; organizational component DDI/OBI.
Godfrey, Francis K.; service designation C; organizational component DDI/OCR.
Hall, Fred H.; service designation SS; organizational component DDS/OS.
Heimann, Peter K.; service designation DI; organizational component DDP/EE.
Henderson, Donald G.; service designation IN; organizational component DDI/ONE.
Heney, Carlyle F.; service designation SS; organizational component DDS/OS.
Hines, Samuel M.; service designation D; organizational component DDP/PPC.
